issue	category	rationale
4573	ENHANCEMENT	Continuous rectangular-to-polar angle is an unwrap feature; atan2's branch cut is not itself an incorrect angle.
4585	REFERENCE	Add the a=b, b>0 pressure-loss regression witness; a requested regression test is distinct from a still-open demonstrated defect.
4594	UNRESOLVED	Multibody instability needs a minimal supported reproducer; a report involving a custom library cannot be adjudicated from its title.
4607	NUMERIC	Machine eps/inf/small usage needs portable numerical contracts, scale analysis and actual-domain checks; usage alone is not a defect.
4610	ENHANCEMENT	Multibody initialization usability/conventions require agreed API and state-selection semantics.
4632	UNIT	EPSSIL/EPSSOX missing units need declaration audit and dielectric-constant semantics before equation inference can help.
4637	REFERENCE	Chaotic behavior comparisons need appropriate horizon/invariants and uncertainty, not universal pointwise equality.
4639	ENHANCEMENT	Interpolation improvement/performance requests require monotonicity/input contracts; optimization opportunity alone is not wrong behavior.
4640	EXTERNAL	Discussion ties FMU results to lost input derivatives; requires exporter/importer derivative-transport checks and FMI experiments.
4667	FRONTEND	Spice MOS2 parameter without value requires definite-value/binding analysis across records/functions before execution.
4684	FRONTEND	Missing each on displayUnit is modifier/elaboration legality; a compiler warning/rejection is not a numerical sanitizer detection.
4687	NUMERIC	Determinant is not a scale-invariant singularity test; need scaled rank/SVD or condition estimates with perturbation checks.
4688	REFERENCE	IMC_DCBraking test concerns numerical tolerance/reference validity; separate model error from regression-harness sensitivity.
4695	UNRESOLVED	Connection order in a diagram does not by itself establish reversed physical behavior; inspect actual connectivity and expected signals.
4696	EXTERNAL	Table simulation report involves development binaries/header integration; distinguish build/distribution mismatch from interpolation defects.
4697	FRONTEND	Variable binding modification violates local balancing; requires source-level instance/binding rules before flattening.
4701	EXTERNAL	Missing installation-directory creation is a Makefile/build-system defect outside numerical model sanitizers.
4702	EXTERNAL	MinGW Makefile support requires platform build CI, not arithmetic-domain monitoring.
4703	FRONTEND	Conditional CompositeStep local balance/cardinality needs source elaboration checks for every structural configuration.
4709	EXTERNAL	MAT inflate/checking report lacks a shareable failing original file; needs malformed-file/I/O validation and a retained reproducer.
4719	NUMERIC	Root-bracket endpoint roundoff can trigger an assertion; use tolerant endpoint/bracket and residual oracles, not assertion-as-root-cause reasoning.
4721	ENHANCEMENT	Nominal-point induction-machine initialization is an interface/workflow improvement, not an automatically detectable numerical violation.
4723	CONTRACT	Invalid smooth(1) claim needs a precise differentiability contract at transitions; discussion disputes the proposed witness and interpretation.
4724	UNRESOLVED	A Length quantity may be negative; quantity names alone do not impose a nonnegative domain.
4728	CONTRACT	cp/cv need not equal the real two-phase isentropic exponent; check thermodynamic derivative identities near saturation.
4729	EVENT	Sine/Cosine startTime behavior differs from prose expectations; phase/time-shift contracts and documentation intent are needed.
4730	CONTRACT	IsentropicExponent definition overlaps #4728; distinguish a thermodynamic derivative from an ideal-gas heat-capacity ratio.
4731	REFERENCE	LogicalSample simultaneous-event/reference issue overlaps #3858/#4063; do not count all three as independent confirmed defects.
4742	ENHANCEMENT	SpecificPower type is missing; adding a quantity definition is an API enhancement rather than a runtime numerical bug.
4743	UNRESOLVED	Table usage question needs a specified configuration and expected interpolation behavior before a defect/detection verdict.
4744	EXTERNAL	Security-enhanced C function proposal requires platform/API analysis; function-name replacement alone neither proves nor fixes a vulnerability.
4749	CONTRACT	OMC API evaluation violates entropy/state round trip away from reference pressure; Rumoca fails before artifact creation. See focused-results.md.
4750	CONTRACT	OMC API evaluation returns 327.45744 K for a 300 K water state; reference-temperature mismatch needs a round-trip oracle. Rumoca is blocked.
4751	ENHANCEMENT	Derivative/inverse annotations for special functions improve tool support; validate derivatives/domain branches rather than flag every absent annotation.
4770	UNRESOLVED	Discussion compares different spline families/smoothing choices; matching interpolants is required before an accuracy defect is established.
4771	SHAPE	Earlier OMC full/reduced-composition control reproduces bounds failure; Rumoca cannot lower either witness. Requires interprocedural extent/index contracts.
4773	EXTERNAL	Windows UTF-8 paths need wide-character conversions and platform tests; numerical sanitizers cannot validate encoding transport.
4794	EXTERNAL	tmpnam creates a filename race; atomic creation/handle ownership and C/platform analysis are needed, outside numerical sanitizers.
4801	UNRESOLVED	Source passes smoothness to the external table constructor, which selects interpolation; common lookup-call names do not establish ignored smoothness.
4807	NUMERIC	Linked #4800 discussion identifies fragile near-zero integral termination; needs function evaluation budgets and mixed absolute/relative quadrature accuracy checks.
4814	EXCLUDED	Authored by Arslan8 (the connected user); retained in the census but excluded from independent evaluation and discovery counts.
4815	REFERENCE	Model StartTime=-1 versus reference start=0 needs test metadata/horizon validation; newly opened issue explains the increase from cached 352 to 353.
